iter	Passed	Remaining
596	910	614
597	912	613
598	913	611
599	915	610
600	916	608
601	917	606
602	918	605
603	920	603
604	921	601
605	922	600
606	924	598
607	925	596
608	926	594
609	927	593
610	929	591
611	931	590
612	932	588
613	933	586
614	934	585
615	936	583
616	937	582
617	939	580
618	940	578
619	941	577
620	942	575
621	944	573
622	945	572
623	947	570
624	948	569
625	950	567
626	951	565
627	952	564
628	954	562
629	955	561
630	956	559
631	958	558
632	959	556
633	961	554
634	962	553
635	963	551
636	964	549
637	966	548
638	967	546
639	969	545
640	970	543
641	971	541
642	972	540
643	973	538
644	975	536
645	977	535
646	978	533
647	980	532
648	981	530
649	983	529
650	985	528
651	986	526
652	987	524
653	988	523
654	990	521
655	991	519
656	992	518
657	993	516
658	994	514
659	996	513
660	997	511
661	998	509
662	999	508
663	1001	506
664	1002	505
665	1003	503
666	1005	501
667	1006	500
668	1007	498
669	1008	496
670	1010	495
671	1011	493
672	1012	492
673	1014	490
674	1015	488
675	1016	487
676	1017	485
677	1019	484
678	1020	482
679	1021	480
680	1022	479
681	1024	477
682	1025	476
683	1027	474
684	1028	472
685	1029	471
686	1031	469
687	1032	468
688	1034	466
689	1035	465
690	1036	463
691	1037	461
692	1038	460
693	1040	458
694	1041	457
695	1042	455
696	1044	453
697	1045	452
698	1046	450
699	1048	449
700	1050	447
701	1051	446
702	1052	444
703	1054	443
704	1055	441
705	1057	440
706	1061	440
707	1063	438
708	1064	437
709	1066	435
710	1067	433
711	1068	432
712	1070	430
713	1072	429
714	1073	428
715	1075	426
716	1076	425
717	1078	423
718	1079	421
719	1080	420
720	1081	418
721	1083	417
722	1084	415
723	1086	414
724	1087	412
725	1089	411
726	1090	409
727	1092	408
728	1093	406
729	1095	405
730	1100	404
731	1101	403
732	1104	402
733	1105	400
734	1107	399
735	1109	397
736	1110	396
737	1112	395
738	1114	393
739	1115	391
740	1117	390
741	1119	389
742	1122	388
743	1124	386
744	1125	385
745	1127	383
746	1129	382
747	1130	380
748	1132	379
749	1134	378
750	1135	376
751	1138	375
752	1140	374
753	1142	372
754	1143	371
755	1145	369
756	1146	368
757	1148	366
758	1150	365
759	1152	363
760	1154	362
761	1157	361
762	1159	360
763	1161	358
764	1165	357
765	1167	356
766	1169	355
767	1171	353
768	1173	352
769	1175	351
770	1176	349
771	1178	347
772	1179	346
773	1181	345
774	1183	343
775	1185	342
776	1188	340
777	1189	339
778	1191	338
779	1193	336
780	1194	334
781	1196	333
782	1198	332
783	1200	330
784	1202	329
785	1203	327
786	1205	326
787	1206	324
788	1210	323
789	1212	322
790	1213	320
791	1215	319
792	1217	317
793	1219	316
794	1221	314
795	1223	313
796	1224	311
797	1226	310
798	1227	308
799	1228	307
800	1230	305
801	1232	304
802	1233	302
803	1235	301
804	1237	299
805	1239	298
806	1241	296
807	1243	295
808	1245	294
809	1249	293
810	1251	291
811	1253	290
812	1254	288
813	1255	286
814	1256	285
815	1259	283
816	1261	282
817	1263	281
818	1265	279
819	1267	278
820	1269	276
821	1270	275
822	1272	273
823	1275	272
824	1277	270
825	1279	269
826	1280	267
827	1281	266
828	1283	264
829	1286	263
830	1288	262
831	1290	260
832	1292	259
833	1294	257
834	1295	256
835	1297	254
836	1299	253
837	1301	251
838	1303	250
839	1306	248
840	1308	247
841	1310	245
842	1311	244
843	1312	242
844	1313	240
845	1315	239
846	1316	237
847	1318	236
848	1321	234
849	1323	233
850	1324	231
851	1325	230
852	1327	228
853	1328	227
854	1330	225
855	1331	224
856	1333	222
857	1335	220
858	1336	219
859	1338	217
860	1339	216
861	1341	214
862	1342	213
863	1344	211
864	1345	210
865	1347	208
866	1348	206
867	1349	205
868	1351	203
869	1352	202
870	1354	200
871	1356	199
872	1357	197
873	1359	195
874	1360	194
875	1362	192
876	1363	191
877	1365	189
878	1366	188
879	1367	186
880	1368	184
881	1370	183
882	1371	181
883	1372	180
884	1374	178
885	1375	176
886	1376	175
887	1377	173
888	1379	172
889	1381	170
890	1382	169
891	1383	167
892	1385	165
893	1386	164
894	1387	162
895	1388	161
896	1389	159
897	1391	157
898	1393	156
899	1394	154
900	1396	153
901	1397	151
902	1398	150
903	1399	148
904	1401	147
905	1402	145
906	1403	143
907	1405	142
908	1406	140
909	1408	139
910	1409	137
911	1410	136
912	1411	134
913	1413	132
914	1414	131
915	1415	129
916	1416	128
917	1418	126
918	1419	125
919	1420	123
920	1421	121
921	1422	120
922	1423	118
923	1425	117
924	1426	115
925	1427	114
926	1429	112
927	1430	110
928	1432	109
929	1433	107
930	1434	106
931	1435	104
932	1437	103
933	1438	101
934	1439	100
935	1440	98
936	1441	96
937	1442	95
938	1444	93
939	1445	92
940	1446	90
941	1447	89
942	1450	87
943	1451	86
944	1452	84
945	1454	83
946	1455	81
947	1456	79
948	1458	78
949	1459	76
950	1461	75
951	1462	73
952	1463	72
953	1465	70
954	1466	69
955	1467	67
956	1469	66
957	1470	64
958	1471	62
959	1472	61
960	1473	59
961	1475	58
962	1476	56
963	1477	55
964	1479	53
965	1480	52
966	1481	50
967	1482	49
968	1483	47
969	1485	45
970	1486	44
971	1487	42
972	1488	41
973	1490	39
974	1492	38
975	1493	36
976	1495	35
977	1496	33
978	1498	32
979	1499	30
980	1501	29
981	1502	27
982	1504	26
983	1507	24
984	1508	22
985	1509	21
986	1511	19
987	1513	18
988	1514	16
989	1515	15
990	1517	13
991	1518	12
992	1519	10
993	1521	9
994	1522	7
995	1524	6
996	1525	4
997	1526	3
998	1528	1
999	1529	0
