"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-South","01.01.2018 00:00 - 01.01.2018 01:00 (CET)","139","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","2","n/e","n/e","290","n/e","0","2","n/e","1312"
"BZN|IT-South","01.01.2018 01:00 - 01.01.2018 02:00 (CET)","186","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","0","n/e","n/e","320","n/e","0","3","n/e","1764"
"BZN|IT-South","01.01.2018 02:00 - 01.01.2018 03:00 (CET)","139","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","0","n/e","n/e","272","n/e","0","2","n/e","1344"
"BZN|IT-South","01.01.2018 03:00 - 01.01.2018 04:00 (CET)","186","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","0","n/e","n/e","307","n/e","0","3","n/e","1572"
"BZN|IT-South","01.01.2018 04:00 - 01.01.2018 05:00 (CET)","186","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","0","n/e","n/e","297","n/e","0","3","n/e","1607"
"BZN|IT-South","01.01.2018 05:00 - 01.01.2018 06:00 (CET)","200","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","0","n/e","n/e","304","n/e","0","3","n/e","1732"
"BZN|IT-South","01.01.2018 06:00 - 01.01.2018 07:00 (CET)","183","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","72","0","n/e","n/e","288","n/e","0","3","n/e","1829"
"BZN|IT-South","01.01.2018 07:00 - 01.01.2018 08:00 (CET)","174","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","65","0","n/e","n/e","290","n/e","3","3","n/e","1776"
"BZN|IT-South","01.01.2018 08:00 - 01.01.2018 09:00 (CET)","183","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","3","n/e","n/e","293","n/e","139","3","n/e","1814"
"BZN|IT-South","01.01.2018 09:00 - 01.01.2018 10:00 (CET)","201","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","3","n/e","n/e","308","n/e","322","3","n/e","1780"
"BZN|IT-South","01.01.2018 10:00 - 01.01.2018 11:00 (CET)","201","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","21","n/e","n/e","309","n/e","416","3","n/e","1851"
"BZN|IT-South","01.01.2018 11:00 - 01.01.2018 12:00 (CET)","201","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","18","n/e","n/e","311","n/e","502","3","n/e","1986"
"BZN|IT-South","01.01.2018 12:00 - 01.01.2018 13:00 (CET)","201","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","18","n/e","n/e","320","n/e","771","3","n/e","1920"
"BZN|IT-South","01.01.2018 13:00 - 01.01.2018 14:00 (CET)","201","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","18","n/e","n/e","314","n/e","603","3","n/e","1880"
"BZN|IT-South","01.01.2018 14:00 - 01.01.2018 15:00 (CET)","194","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","63","18","n/e","n/e","370","n/e","463","3","n/e","1850"
"BZN|IT-South","01.01.2018 15:00 - 01.01.2018 16:00 (CET)","201","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","64","18","n/e","n/e","382","n/e","90","3","n/e","2006"
"BZN|IT-South","01.01.2018 16:00 - 01.01.2018 17:00 (CET)","202","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","64","18","n/e","n/e","390","n/e","9","3","n/e","2439"
"BZN|IT-South","01.01.2018 17:00 - 01.01.2018 18:00 (CET)","201","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","55","44","n/e","n/e","338","n/e","0","3","n/e","2783"
"BZN|IT-South","01.01.2018 18:00 - 01.01.2018 19:00 (CET)","201","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","312","29","n/e","n/e","392","n/e","0","3","n/e","2968"
"BZN|IT-South","01.01.2018 19:00 - 01.01.2018 20:00 (CET)","201","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","368","29","n/e","n/e","393","n/e","0","3","n/e","2945"
"BZN|IT-South","01.01.2018 20:00 - 01.01.2018 21:00 (CET)","201","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","3","n/e","n/e","341","n/e","0","3","n/e","2911"
