"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-South","01.01.2022 00:00 - 01.01.2022 01:00 (CET)","150","n/e","10","1057","536","0","n/e","n/e","n/e","n/e","n/e","30","37","n/e","n/e","171","n/e","0","n/e","n/e","768"
"BZN|IT-South","01.01.2022 01:00 - 01.01.2022 02:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 02:00 - 01.01.2022 03:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 03:00 - 01.01.2022 04:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 04:00 - 01.01.2022 05:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 05:00 - 01.01.2022 06:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 06:00 - 01.01.2022 07:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 07:00 - 01.01.2022 08:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 08:00 - 01.01.2022 09:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
"BZN|IT-South","01.01.2022 09:00 - 01.01.2022 10:00 (CET)","N/A","n/e","N/A","N/A","N/A","N/A","n/e","n/e","n/e","n/e","n/e","N/A","N/A","n/e","n/e","N/A","n/e","N/A","n/e","n/e","N/A"
