"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-South","01.01.2016 00:00 - 01.01.2016 01:00 (CET)","67","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","35","7","n/e","n/e","386","n/e","0","0","n/e","130"
"BZN|IT-South","01.01.2016 01:00 - 01.01.2016 02:00 (CET)","68","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","111","0","n/e","n/e","382","n/e","0","0","n/e","145"
"BZN|IT-South","01.01.2016 02:00 - 01.01.2016 03:00 (CET)","68","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","73","0","n/e","n/e","378","n/e","0","0","n/e","171"
"BZN|IT-South","01.01.2016 03:00 - 01.01.2016 04:00 (CET)","67","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","0","n/e","n/e","371","n/e","0","0","n/e","144"
"BZN|IT-South","01.01.2016 04:00 - 01.01.2016 05:00 (CET)","67","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","0","n/e","n/e","344","n/e","0","0","n/e","136"
"BZN|IT-South","01.01.2016 05:00 - 01.01.2016 06:00 (CET)","67","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","0","n/e","n/e","351","n/e","0","0","n/e","135"
"BZN|IT-South","01.01.2016 06:00 - 01.01.2016 07:00 (CET)","66","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","64","0","n/e","n/e","353","n/e","0","0","n/e","133"
"BZN|IT-South","01.01.2016 07:00 - 01.01.2016 08:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","0","n/e","n/e","355","n/e","47","0","n/e","124"
"BZN|IT-South","01.01.2016 08:00 - 01.01.2016 09:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","82","14","n/e","n/e","353","n/e","296","0","n/e","121"
"BZN|IT-South","01.01.2016 09:00 - 01.01.2016 10:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","111","14","n/e","n/e","351","n/e","813","0","n/e","87"
"BZN|IT-South","01.01.2016 10:00 - 01.01.2016 11:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","14","n/e","n/e","346","n/e","1092","0","n/e","68"
"BZN|IT-South","01.01.2016 11:00 - 01.01.2016 12:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","11","n/e","n/e","346","n/e","1153","0","n/e","59"
"BZN|IT-South","01.01.2016 12:00 - 01.01.2016 13:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","11","n/e","n/e","346","n/e","1089","0","n/e","57"
"BZN|IT-South","01.01.2016 13:00 - 01.01.2016 14:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","11","n/e","n/e","346","n/e","838","0","n/e","40"
"BZN|IT-South","01.01.2016 14:00 - 01.01.2016 15:00 (CET)","75","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","11","n/e","n/e","360","n/e","481","0","n/e","42"
"BZN|IT-South","01.01.2016 15:00 - 01.01.2016 16:00 (CET)","74","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","77","11","n/e","n/e","365","n/e","243","0","n/e","41"
"BZN|IT-South","01.01.2016 16:00 - 01.01.2016 17:00 (CET)","67","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","79","11","n/e","n/e","384","n/e","16","0","n/e","47"
"BZN|IT-South","01.01.2016 17:00 - 01.01.2016 18:00 (CET)","67","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","89","69","n/e","n/e","398","n/e","0","0","n/e","47"
"BZN|IT-South","01.01.2016 18:00 - 01.01.2016 19:00 (CET)","68","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","98","70","n/e","n/e","400","n/e","0","0","n/e","46"
"BZN|IT-South","01.01.2016 19:00 - 01.01.2016 20:00 (CET)","67","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","83","16","n/e","n/e","407","n/e","0","0","n/e","40"
"BZN|IT-South","01.01.2016 20:00 - 01.01.2016 21:00 (CET)","65","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","14","n/e","n/e","400","n/e","0","0","n/e","48"
"BZN|IT-South","01.01.2016 21:00 - 01.01.2016 22:00 (CET)","67","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","14","n/e","n/e","402","n/e","0","0","n/e","50"
"BZN|IT-South","01.01.2016 22:00 - 01.01.2016 23:00 (CET)","67","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","75","11","n/e","n/e","399","n/e","0","0","n/e","64"
"BZN|IT-South","01.01.2016 23:00 - 02.01.2016 00:00 (CET)","65","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","106","11","n/e","n/e","382","n/e","0","0","n/e","77"
"BZN|IT-South","02.01.2016 00:00 - 02.01.2016 01:00 (CET)","69","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","0","n/e","n/e","378","n/e","0","0","n/e","49"
"BZN|IT-South","02.01.2016 01:00 - 02.01.2016 02:00 (CET)","69","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","0","n/e","n/e","374","n/e","0","0","n/e","64"
"BZN|IT-South","02.01.2016 02:00 - 02.01.2016 03:00 (CET)","70","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","0","n/e","n/e","369","n/e","0","0","n/e","86"
"BZN|IT-South","02.01.2016 03:00 - 02.01.2016 04:00 (CET)","70","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","0","n/e","n/e","364","n/e","0","0","n/e","113"
"BZN|IT-South","02.01.2016 04:00 - 02.01.2016 05:00 (CET)","70","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","0","n/e","n/e","362","n/e","0","0","n/e","140"
"BZN|IT-South","02.01.2016 05:00 - 02.01.2016 06:00 (CET)","72","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","1","n/e","n/e","360","n/e","0","0","n/e","142"
"BZN|IT-South","02.01.2016 06:00 - 02.01.2016 07:00 (CET)","70","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","78","3","n/e","n/e","373","n/e","0","0","n/e","171"
"BZN|IT-South","02.01.2016 07:00 - 02.01.2016 08:00 (CET)","71","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","73","3","n/e","n/e","385","n/e","15","0","n/e","232"
"BZN|IT-South","02.01.2016 08:00 - 02.01.2016 09:00 (CET)","66","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","37","14","n/e","n/e","388","n/e","230","0","n/e","300"
"BZN|IT-South","02.01.2016 09:00 - 02.01.2016 10:00 (CET)","73","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","14","n/e","n/e","395","n/e","639","0","n/e","300"
"BZN|IT-South","02.01.2016 10:00 - 02.01.2016 11:00 (CET)","76","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","11","n/e","n/e","378","n/e","699","0","n/e","491"
"BZN|IT-South","02.01.2016 11:00 - 02.01.2016 12:00 (CET)","82","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","96","11","n/e","n/e","379","n/e","689","0","n/e","725"
"BZN|IT-South","02.01.2016 12:00 - 02.01.2016 13:00 (CET)","72","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","16","n/e","n/e","379","n/e","701","0","n/e","852"
"BZN|IT-South","02.01.2016 13:00 - 02.01.2016 14:00 (CET)","72","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","79","19","n/e","n/e","375","n/e","665","0","n/e","964"
"BZN|IT-South","02.01.2016 14:00 - 02.01.2016 15:00 (CET)","72","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","82","19","n/e","n/e","365","n/e","192","0","n/e","968"
"BZN|IT-South","02.01.2016 15:00 - 02.01.2016 16:00 (CET)","72","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","104","23","n/e","n/e","372","n/e","74","0","n/e","999"
"BZN|IT-South","02.01.2016 16:00 - 02.01.2016 17:00 (CET)","80","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","120","47","n/e","n/e","372","n/e","5","0","n/e","1113"
"BZN|IT-South","02.01.2016 17:00 - 02.01.2016 18:00 (CET)","82","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","118","51","n/e","n/e","399","n/e","0","0","n/e","1275"
"BZN|IT-South","02.01.2016 18:00 - 02.01.2016 19:00 (CET)","80","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","109","n/e","n/e","399","n/e","0","0","n/e","1401"
"BZN|IT-South","02.01.2016 19:00 - 02.01.2016 20:00 (CET)","82","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","129","112","n/e","n/e","403","n/e","0","0","n/e","1499"
"BZN|IT-South","02.01.2016 20:00 - 02.01.2016 21:00 (CET)","82","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","55","n/e","n/e","385","n/e","0","0","n/e","1523"
"BZN|IT-South","02.01.2016 21:00 - 02.01.2016 22:00 (CET)","83","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","72","54","n/e","n/e","377","n/e","0","0","n/e","1659"
"BZN|IT-South","02.01.2016 22:00 - 02.01.2016 23:00 (CET)","82","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","97","54","n/e","n/e","369","n/e","0","0","n/e","1734"
"BZN|IT-South","02.01.2016 23:00 - 03.01.2016 00:00 (CET)","81","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","51","n/e","n/e","350","n/e","0","0","n/e","1780"
"BZN|IT-South","03.01.2016 00:00 - 03.01.2016 01:00 (CET)","65","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","26","3","n/e","n/e","331","n/e","0","0","n/e","1879"
"BZN|IT-South","03.01.2016 01:00 - 03.01.2016 02:00 (CET)","64","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","32","0","n/e","n/e","331","n/e","0","0","n/e","1750"
"BZN|IT-South","03.01.2016 02:00 - 03.01.2016 03:00 (CET)","63","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","106","0","n/e","n/e","333","n/e","0","0","n/e","1460"
"BZN|IT-South","03.01.2016 03:00 - 03.01.2016 04:00 (CET)","64","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","0","n/e","n/e","332","n/e","0","0","n/e","1544"
"BZN|IT-South","03.01.2016 04:00 - 03.01.2016 05:00 (CET)","65","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","31","0","n/e","n/e","333","n/e","0","0","n/e","1406"
"BZN|IT-South","03.01.2016 05:00 - 03.01.2016 06:00 (CET)","64","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","0","n/e","n/e","332","n/e","0","0","n/e","1335"
"BZN|IT-South","03.01.2016 06:00 - 03.01.2016 07:00 (CET)","64","n/e","n/e","3","n/e","n/e","n/e","n/e","n/e","n/e","n/e","61","0","n/e","n/e","332","n/e","0","0","n/e","1315"
"BZN|IT-South","03.01.2016 07:00 - 03.01.2016 08:00 (CET)","71","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","33","2","n/e","n/e","334","n/e","0","0","n/e","1359"
"BZN|IT-South","03.01.2016 08:00 - 03.01.2016 09:00 (CET)","73","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","14","n/e","n/e","341","n/e","113","0","n/e","1555"
"BZN|IT-South","03.01.2016 09:00 - 03.01.2016 10:00 (CET)","75","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","88","14","n/e","n/e","337","n/e","243","0","n/e","1520"
