"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-South","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","119","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","320","0","n/e","n/e","378","n/e","0","3","n/e","709"
"BZN|IT-South","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","121","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","34","0","n/e","n/e","369","n/e","0","3","n/e","586"
"BZN|IT-South","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","121","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","0","n/e","n/e","370","n/e","0","3","n/e","486"
"BZN|IT-South","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","120","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","68","0","n/e","n/e","369","n/e","0","3","n/e","398"
"BZN|IT-South","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","120","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","67","0","n/e","n/e","365","n/e","0","3","n/e","382"
"BZN|IT-South","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","122","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","0","n/e","n/e","367","n/e","0","4","n/e","338"
"BZN|IT-South","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","121","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","0","n/e","n/e","368","n/e","0","3","n/e","318"
"BZN|IT-South","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","116","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","0","n/e","n/e","359","n/e","42","3","n/e","292"
"BZN|IT-South","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","118","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","0","n/e","n/e","360","n/e","507","3","n/e","249"
"BZN|IT-South","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","122","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","30","19","n/e","n/e","363","n/e","1169","3","n/e","182"
"BZN|IT-South","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","122","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","189","19","n/e","n/e","362","n/e","1560","3","n/e","151"
"BZN|IT-South","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","122","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","71","3","n/e","n/e","364","n/e","1665","3","n/e","162"
"BZN|IT-South","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","122","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","28","14","n/e","n/e","366","n/e","1625","4","n/e","220"
"BZN|IT-South","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","121","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","15","n/e","n/e","360","n/e","1447","3","n/e","305"
"BZN|IT-South","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","122","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","15","n/e","n/e","372","n/e","1008","3","n/e","348"
"BZN|IT-South","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","119","n/e","n/e","2","n/e","n/e","n/e","n/e","n/e","n/e","n/e","27","15","n/e","n/e","384","n/e","398","3","n/e","395"
