"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|IT-Centre-North","01.01.2016 00:00 - 01.01.2016 01:00 (CET)","24","n/e","0","649","0","0","n/e","n/e","706","0","","91","0","n/e","n/e","122","n/e","0","n/e","n/e","3"
"BZN|IT-Centre-North","01.01.2016 01:00 - 01.01.2016 02:00 (CET)","24","n/e","0","516","0","0","n/e","n/e","706","0","","90","0","n/e","n/e","108","n/e","0","n/e","n/e","3"
"BZN|IT-Centre-North","01.01.2016 02:00 - 01.01.2016 03:00 (CET)","24","n/e","0","450","0","0","n/e","n/e","706","0","","90","0","n/e","n/e","106","n/e","0","n/e","n/e","2"
"BZN|IT-Centre-North","01.01.2016 03:00 - 01.01.2016 04:00 (CET)","24","n/e","0","393","0","0","n/e","n/e","705","0","","93","0","n/e","n/e","101","n/e","0","n/e","n/e","2"
"BZN|IT-Centre-North","01.01.2016 04:00 - 01.01.2016 05:00 (CET)","24","n/e","0","395","0","0","n/e","n/e","707","0","","89","0","n/e","n/e","101","n/e","0","n/e","n/e","0"
"BZN|IT-Centre-North","01.01.2016 05:00 - 01.01.2016 06:00 (CET)","24","n/e","0","395","0","0","n/e","n/e","706","0","","75","0","n/e","n/e","101","n/e","0","n/e","n/e","1"
"BZN|IT-Centre-North","01.01.2016 06:00 - 01.01.2016 07:00 (CET)","24","n/e","0","397","0","0","n/e","n/e","706","0","","66","0","n/e","n/e","101","n/e","0","n/e","n/e","2"
"BZN|IT-Centre-North","01.01.2016 07:00 - 01.01.2016 08:00 (CET)","24","n/e","0","420","0","0","n/e","n/e","707","0","","44","0","n/e","n/e","102","n/e","0","n/e","n/e","6"
"BZN|IT-Centre-North","01.01.2016 08:00 - 01.01.2016 09:00 (CET)","25","n/e","0","412","0","0","n/e","n/e","706","0","","42","0","n/e","n/e","103","n/e","72","n/e","n/e","7"
"BZN|IT-Centre-North","01.01.2016 09:00 - 01.01.2016 10:00 (CET)","26","n/e","0","394","0","0","n/e","n/e","707","0","","48","10","n/e","n/e","106","n/e","281","n/e","n/e","6"
